dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,af_mixed_order-asc_prune-multi,instance_0001.txt,1,1,0,0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.000864,0.000864,0.000864,0.000864,0.000864,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0002.txt,1,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.000105,0.000105,0.000105,0.000105,0.000105,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0003.txt,1,1,0,0,8.5,8.5,8.5,8.5,8.5,0.0,0.0,34.0,34.0,34,34,34,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.001055,0.001055,0.001055,0.001055,0.001055,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0004.txt,1,1,0,0,2.6,2.6,2.6,2.6,2.6,0.0,0.0,13.0,13.0,13,13,13,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,0.001413,0.001413,0.001413,0.001413,0.001413,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0005.txt,1,1,0,0,171.375,171.375,171.375,171.375,171.375,0.0,0.0,1371.0,1371.0,1371,1371,1371,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,0.129426,0.129426,0.129426,0.129426,0.129426,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0006.txt,1,1,0,0,675.0,675.0,675.0,675.0,675.0,0.0,0.0,675.0,675.0,675,675,675,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.040162,0.040162,0.040162,0.040162,0.040162,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0007.txt,1,1,0,0,318.2,318.2,318.2,318.2,318.2,0.0,0.0,1591.0,1591.0,1591,1591,1591,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,0.118602,0.118602,0.118602,0.118602,0.118602,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0008.txt,1,1,0,0,138.2,138.2,138.2,138.2,138.2,0.0,0.0,2764.0,2764.0,2764,2764,2764,0.0,0.0,20.0,20.0,20,20,20,0.0,0.0,0.091697,0.091697,0.091697,0.091697,0.091697,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0009.txt,1,1,0,0,3.075,3.075,3.075,3.075,3.075,0.0,0.0,123.0,123.0,123,123,123,0.0,0.0,40.0,40.0,40,40,40,0.0,0.0,0.026734,0.026734,0.026734,0.026734,0.026734,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0010.txt,1,1,0,0,12.335714285714285,12.335714285714285,12.335714285714285,12.335714285714285,12.335714285714285,0.0,0.0,1727.0,1727.0,1727,1727,1727,0.0,0.0,140.0,140.0,140,140,140,0.0,0.0,0.39944,0.39944,0.39944,0.39944,0.39944,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0011.txt,1,1,0,0,10.225,10.225,10.225,10.225,10.225,0.0,0.0,409.0,409.0,409,409,409,0.0,0.0,40.0,40.0,40,40,40,0.0,0.0,0.265265,0.265265,0.265265,0.265265,0.265265,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0012.txt,1,1,0,0,4.588235294117647,4.588235294117647,4.588235294117647,4.588235294117647,4.588235294117647,0.0,0.0,78.0,78.0,78,78,78,0.0,0.0,17.0,17.0,17,17,17,0.0,0.0,0.010249,0.010249,0.010249,0.010249,0.010249,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0013.txt,1,1,0,0,101.73333333333333,101.73333333333333,101.73333333333333,101.73333333333333,101.73333333333333,0.0,0.0,1526.0,1526.0,1526,1526,1526,0.0,0.0,15.0,15.0,15,15,15,0.0,0.0,0.338177,0.338177,0.338177,0.338177,0.338177,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0014.txt,1,1,0,0,178.72727272727272,178.72727272727272,178.72727272727272,178.72727272727272,178.72727272727272,0.0,0.0,1966.0,1966.0,1966,1966,1966,0.0,0.0,11.0,11.0,11,11,11,0.0,0.0,0.372185,0.372185,0.372185,0.372185,0.372185,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0015.txt,1,1,0,0,146.0,146.0,146.0,146.0,146.0,0.0,0.0,438.0,438.0,438,438,438,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.141619,0.141619,0.141619,0.141619,0.141619,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0016.txt,1,1,0,0,75.5,75.5,75.5,75.5,75.5,0.0,0.0,151.0,151.0,151,151,151,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.010027,0.010027,0.010027,0.010027,0.010027,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0017.txt,1,1,0,0,34.5,34.5,34.5,34.5,34.5,0.0,0.0,69.0,69.0,69,69,69,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.002745,0.002745,0.002745,0.002745,0.002745,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0018.txt,1,1,0,0,108.8,108.8,108.8,108.8,108.8,0.0,0.0,544.0,544.0,544,544,544,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,0.037776,0.037776,0.037776,0.037776,0.037776,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0019.txt,1,1,0,0,202.0,202.0,202.0,202.0,202.0,0.0,0.0,202.0,202.0,202,202,202,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.008961,0.008961,0.008961,0.008961,0.008961,0.0,0.0
a,af_mixed_order-asc_prune-multi,instance_0020.txt,1,1,0,0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.000112,0.000112,0.000112,0.000112,0.000112,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0001.txt,1,1,0,0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.000357,0.000357,0.000357,0.000357,0.000357,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0002.txt,1,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,6.7e-05,6.7e-05,6.7e-05,6.7e-05,6.7e-05,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0003.txt,1,1,0,0,6.8,6.8,6.8,6.8,6.8,0.0,0.0,34.0,34.0,34,34,34,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,0.000913,0.000913,0.000913,0.000913,0.000913,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0004.txt,1,1,0,0,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4444444444444444,1.4444444444444444,0.0,0.0,13.0,13.0,13,13,13,0.0,0.0,9.0,9.0,9,9,9,0.0,0.0,0.001305,0.001305,0.001305,0.001305,0.001305,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0005.txt,1,1,0,0,171.375,171.375,171.375,171.375,171.375,0.0,0.0,1371.0,1371.0,1371,1371,1371,0.0,0.0,8.0,8.0,8,8,8,0.0,0.0,0.04943,0.04943,0.04943,0.04943,0.04943,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0006.txt,1,1,0,0,675.0,675.0,675.0,675.0,675.0,0.0,0.0,675.0,675.0,675,675,675,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.038925,0.038925,0.038925,0.038925,0.038925,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0007.txt,1,1,0,0,318.2,318.2,318.2,318.2,318.2,0.0,0.0,1591.0,1591.0,1591,1591,1591,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,0.103138,0.103138,0.103138,0.103138,0.103138,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0008.txt,1,1,0,0,138.2,138.2,138.2,138.2,138.2,0.0,0.0,2764.0,2764.0,2764,2764,2764,0.0,0.0,20.0,20.0,20,20,20,0.0,0.0,0.038708,0.038708,0.038708,0.038708,0.038708,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0009.txt,1,1,0,0,1.7571428571428571,1.7571428571428571,1.7571428571428571,1.7571428571428571,1.7571428571428571,0.0,0.0,123.0,123.0,123,123,123,0.0,0.0,70.0,70.0,70,70,70,0.0,0.0,0.003195,0.003195,0.003195,0.003195,0.003195,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0010.txt,1,1,0,0,12.161971830985916,12.161971830985916,12.161971830985916,12.161971830985916,12.161971830985916,0.0,0.0,1727.0,1727.0,1727,1727,1727,0.0,0.0,142.0,142.0,142,142,142,0.0,0.0,0.141256,0.141256,0.141256,0.141256,0.141256,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0011.txt,1,1,0,0,10.487179487179487,10.487179487179487,10.487179487179487,10.487179487179487,10.487179487179487,0.0,0.0,409.0,409.0,409,409,409,0.0,0.0,39.0,39.0,39,39,39,0.0,0.0,0.231023,0.231023,0.231023,0.231023,0.231023,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0012.txt,1,1,0,0,2.888888888888889,2.888888888888889,2.888888888888889,2.888888888888889,2.888888888888889,0.0,0.0,78.0,78.0,78,78,78,0.0,0.0,27.0,27.0,27,27,27,0.0,0.0,0.005812,0.005812,0.005812,0.005812,0.005812,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0013.txt,1,1,0,0,101.73333333333333,101.73333333333333,101.73333333333333,101.73333333333333,101.73333333333333,0.0,0.0,1526.0,1526.0,1526,1526,1526,0.0,0.0,15.0,15.0,15,15,15,0.0,0.0,0.277134,0.277134,0.277134,0.277134,0.277134,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0014.txt,1,1,0,0,178.72727272727272,178.72727272727272,178.72727272727272,178.72727272727272,178.72727272727272,0.0,0.0,1966.0,1966.0,1966,1966,1966,0.0,0.0,11.0,11.0,11,11,11,0.0,0.0,0.377476,0.377476,0.377476,0.377476,0.377476,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0015.txt,1,1,0,0,146.0,146.0,146.0,146.0,146.0,0.0,0.0,438.0,438.0,438,438,438,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.100879,0.100879,0.100879,0.100879,0.100879,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0016.txt,1,1,0,0,75.5,75.5,75.5,75.5,75.5,0.0,0.0,151.0,151.0,151,151,151,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.004945,0.004945,0.004945,0.004945,0.004945,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0017.txt,1,1,0,0,34.5,34.5,34.5,34.5,34.5,0.0,0.0,69.0,69.0,69,69,69,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,0.004481,0.004481,0.004481,0.004481,0.004481,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0018.txt,1,1,0,0,108.8,108.8,108.8,108.8,108.8,0.0,0.0,544.0,544.0,544,544,544,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,0.025497,0.025497,0.025497,0.025497,0.025497,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0019.txt,1,1,0,0,202.0,202.0,202.0,202.0,202.0,0.0,0.0,202.0,202.0,202,202,202,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.00482,0.00482,0.00482,0.00482,0.00482,0.0,0.0
a,af_mixed_order-asc_prune-null,instance_0020.txt,1,1,0,0,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,0.0,10.0,10.0,10,10,10,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,9.7e-05,9.7e-05,9.7e-05,9.7e-05,9.7e-05,0.0,0.0
a,af_mixed_order-asc_prune-simple,instance_0001.txt,1,1,0,0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,36.0,36.0,36,36,36,0.0,0.0,3.0,3.0,3,3,3,0.0,0.0,0.000825,0.000825,0.000825,0.000825,0.000825,0.0,0.0
a,af_mixed_order-asc_prune-simple,instance_0002.txt,1,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.000106,0.000106,0.000106,0.000106,0.000106,0.0,0.0
a,af_mixed_order-asc_prune-simple,instance_0003.txt,1,1,0,0,8.5,8.5,8.5,8.5,8.5,0.0,0.0,34.0,34.0,34,34,34,0.0,0.0,4.0,4.0,4,4,4,0.0,0.0,0.001243,0.001243,0.001243,0.001243,0.001243,0.0,0.0
a,af_mixed_order-asc_prune-simple,instance_0004.txt,1,1,0,0,2.6,2.6,2.6,2.6,2.6,0.0,0.0,13.0,13.0,13,13,13,0.0,0.0,5.0,5.0,5,5,5,0.0,0.0,0.000545,0.000545,0.000545,0.000545,0.000545,0.0,0.0
a,af_mixed_order-asc_prune-simple,instance_0005.txt,1,1,0,0,152.33333333333334,152.33333333333334,152.33333333333334,152.33333333333334,152.33333333333334,0.0,0.0,1371.0,1371.0,1371,1371,1371,0.0,0.0,9.0,9.0,9,9,9,0.0,0.0,0.065104,0.065104,0.065104,0.065104,0.065104,0.0,0.0
