dataset,algorithm,instance,total_runs,feasible_runs,infeasible_runs,timed_out_runs,objective_mean,objective_median,objective_mode,objective_min,objective_max,objective_variance,objective_std_dev,items_mean,items_median,items_mode,items_min,items_max,items_variance,items_std_dev,aisles_mean,aisles_median,aisles_mode,aisles_min,aisles_max,aisles_variance,aisles_std_dev,exec_time_mean,exec_time_median,exec_time_mode,exec_time_min,exec_time_max,exec_time_variance,exec_time_std_dev
a,bigger,instance_0001.txt,1,1,0,0,5.230769230769231,5.230769230769231,5.230769230769231,5.230769230769231,5.230769230769231,0.0,0.0,68.0,68.0,68,68,68,0.0,0.0,13.0,13.0,13,13,13,0.0,0.0,0.001106,0.001106,0.001106,0.001106,0.001106,0.0,0.0
a,bigger,instance_0002.txt,1,1,0,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2,2,2,0.0,0.0,1.0,1.0,1,1,1,0.0,0.0,9.3e-05,9.3e-05,9.3e-05,9.3e-05,9.3e-05,0.0,0.0
a,bigger,instance_0003.txt,1,1,0,0,4.24,4.24,4.24,4.24,4.24,0.0,0.0,106.0,106.0,106,106,106,0.0,0.0,25.0,25.0,25,25,25,0.0,0.0,0.002393,0.002393,0.002393,0.002393,0.002393,0.0,0.0
a,bigger,instance_0004.txt,1,1,0,0,2.1052631578947367,2.1052631578947367,2.1052631578947367,2.1052631578947367,2.1052631578947367,0.0,0.0,40.0,40.0,40,40,40,0.0,0.0,19.0,19.0,19,19,19,0.0,0.0,0.000877,0.000877,0.000877,0.000877,0.000877,0.0,0.0
a,bigger,instance_0005.txt,1,1,0,0,34.06976744186046,34.06976744186046,34.06976744186046,34.06976744186046,34.06976744186046,0.0,0.0,4395.0,4395.0,4395,4395,4395,0.0,0.0,129.0,129.0,129,129,129,0.0,0.0,0.125351,0.125351,0.125351,0.125351,0.125351,0.0,0.0
a,bigger,instance_0006.txt,1,1,0,0,31.387096774193548,31.387096774193548,31.387096774193548,31.387096774193548,31.387096774193548,0.0,0.0,3892.0,3892.0,3892,3892,3892,0.0,0.0,124.0,124.0,124,124,124,0.0,0.0,0.062274,0.062274,0.062274,0.062274,0.062274,0.0,0.0
a,bigger,instance_0007.txt,1,1,0,0,28.708955223880597,28.708955223880597,28.708955223880597,28.708955223880597,28.708955223880597,0.0,0.0,3847.0,3847.0,3847,3847,3847,0.0,0.0,134.0,134.0,134,134,134,0.0,0.0,0.115406,0.115406,0.115406,0.115406,0.115406,0.0,0.0
a,bigger,instance_0008.txt,1,1,0,0,28.96938775510204,28.96938775510204,28.96938775510204,28.96938775510204,28.96938775510204,0.0,0.0,2839.0,2839.0,2839,2839,2839,0.0,0.0,98.0,98.0,98,98,98,0.0,0.0,0.0753,0.0753,0.0753,0.0753,0.0753,0.0,0.0
a,bigger,instance_0009.txt,1,1,0,0,2.7818181818181817,2.7818181818181817,2.7818181818181817,2.7818181818181817,2.7818181818181817,0.0,0.0,153.0,153.0,153,153,153,0.0,0.0,55.0,55.0,55,55,55,0.0,0.0,0.011233,0.011233,0.011233,0.011233,0.011233,0.0,0.0
a,bigger,instance_0010.txt,1,1,0,0,5.898648648648648,5.898648648648648,5.898648648648648,5.898648648648648,5.898648648648648,0.0,0.0,1746.0,1746.0,1746,1746,1746,0.0,0.0,296.0,296.0,296,296,296,0.0,0.0,0.227837,0.227837,0.227837,0.227837,0.227837,0.0,0.0
a,bigger,instance_0011.txt,1,1,0,0,6.8624161073825505,6.8624161073825505,6.8624161073825505,6.8624161073825505,6.8624161073825505,0.0,0.0,2045.0,2045.0,2045,2045,2045,0.0,0.0,298.0,298.0,298,298,298,0.0,0.0,0.201697,0.201697,0.201697,0.201697,0.201697,0.0,0.0
a,bigger,instance_0012.txt,1,1,0,0,3.339622641509434,3.339622641509434,3.339622641509434,3.339622641509434,3.339622641509434,0.0,0.0,177.0,177.0,177,177,177,0.0,0.0,53.0,53.0,53,53,53,0.0,0.0,0.010444,0.010444,0.010444,0.010444,0.010444,0.0,0.0
a,bigger,instance_0013.txt,1,1,0,0,12.837535014005603,12.837535014005603,12.837535014005603,12.837535014005603,12.837535014005603,0.0,0.0,4583.0,4583.0,4583,4583,4583,0.0,0.0,357.0,357.0,357,357,357,0.0,0.0,0.541433,0.541433,0.541433,0.541433,0.541433,0.0,0.0
a,bigger,instance_0014.txt,1,1,0,0,20.473544973544975,20.473544973544975,20.473544973544975,20.473544973544975,20.473544973544975,0.0,0.0,7739.0,7739.0,7739,7739,7739,0.0,0.0,378.0,378.0,378,378,378,0.0,0.0,0.712083,0.712083,0.712083,0.712083,0.712083,0.0,0.0
